,Railway word/phrase - English,German (ÖBB),Hungarian (MAV),en2de,en2hu,de2en,de2hu,hu2en,hu2de
184,point or point switch,weiche,kitérő,punkt oder punktschalter,pont- vagy pontkapcsoló,switch,kapcsoló,bypass,bypass
185,police operation,polizeieinsatz,rendőrségi szolgálat,polizeieinsatz,rendőrségi művelet,police operation,rendőri művelet,police service,polizeidienst
186,police regulations,polizeivorschriften,rendőrségi szabályok,polizeivorschriften,rendőrségi előírások,police regulations,rendőrségi előírások,police rules,polizeiregeln
187,power cut,stromausfall,áramszünet,stromausfall,áramkimaradás,power failure,áramszünet,blackout,blackout
188,power failure,spannungsausfall,áramellátási zavar,stromausfall,áramkimaradás,power failure,áramszünet,power failure,stromausfall
189,radio data transmission interruption,datenfunkunterbruch,rádió adatátviteli zavar,unterbrechung der funkdatenübertragung,rádió adatátviteli megszakítás,radio data transmission interruption,rádiós adatátvitel megszakítása,radio data interference,funkdatenstörung
190,rail freight corridor,rail freight corridor,vasúti áruszállítási folyosó,schienengüterverkehrskorridor,vasúti árufuvarozási folyosó,rail freight corridor,vasúti árufuvarozási folyosó,rail freight corridor,schienengüterverkehrskorridor
191,railway accident,eisenbahnunfall,vasúti baleset,eisenbahnunfall,vasúti baleset,railway accident,vasúti baleset,railway accident,eisenbahnunfall
192,railway undertaking,eisenbahnverkehrsunternehmen,vállalkozó vasúti társaság,eisenbahnunternehmen,vasúti vállalkozás,railway transport companies,vasúti közlekedési vállalat,contractor railway company,auftragnehmer eisenbahngesellschaft
193,refusal/reject,weigerung/zurückweisen,visszautasítás,ablehnung / ablehnung,megtagadása / elutasítása,refusal / reject,megtagadása / elutasítása,rejection,ablehnung
194,release of hazardous substances,freigabe von gefährlichen stoffen,veszélyes anyagok/áru szabadba kerülése,freisetzung gefährlicher stoffe,veszélyes anyagok kibocsátása,release of dangerous substances,veszélyes anyagok kibocsátása,dangerous goods / goods coming out,gefahrgut / herauskommende ware
195,renumbering,umnummerierung,átszámozás,umnummerierung,újraszámozás,renumbering,újraszámozást,renumbering,umnummerierung
196,replacement bus,ersatzbus,vonatpótló busz,ersatzbus,cserebusz,replacement bus,csere busz,train replacement bus,zugersatzbus
197,replacement locomotive,ersatztriebfahrzeug,segélymozdony,ersatzlokomotive,csere mozdony,spare train,tartalék vonat,aid locomotive,hilfe lokomotive
198,rescue service operation,rettungseinsatz,katasztrófavédelem,rettungsdiensteinsatz,mentési szolgálat,rescue operation,mentési művelet,disaster recovery,disaster recovery
199,request for actual information about the train,anforderung über aktuelle zugsinformation,friss információ kérése a vonatról,anfrage für aktuelle informationen zum zug,tényleges információ kérése a vonattal kapcsolatban,request for current train information,a vonat aktuális információinak kérése,requesting fresh information about the train,neue informationen über den zug anfordern
200,request for direct communication needed,anforderung über direkte kommunikation,közvetlen kommunikáció kérése,anfrage für direkte kommunikation erforderlich,közvetlen kommunikációs kérelem szükséges,request via direct communication,kérés közvetlen kommunikáció útján,request for direct communication,bitte um direkte kommunikation
201,rerouting of the train,umleitung eines zuges,változás az útvonalban,umleitung des zuges,a vonat átirányítása,redirection of a train,a vonat átirányítása,change the route,ändern sie die route
202,restricted speed running,eingeschränkte laufgeschwindigkeit,korlátozott sebességgel közlekedés,geschwindigkeitsbeschränkung läuft,korlátozott sebesség fut,limited running speed,korlátozott futási sebesség,limited speed transport,transport mit begrenzter geschwindigkeit
203,reversal of direction,richtungsänderung,visszafordulás,richtungsumkehr,irányváltás,change of direction,irányváltoztatás,turning back,umkehr
204,rolling stock ,wagenmaterial,gördülő állomány,fahrzeuge,gördülőállomány,rolling stock,gördülőállomány,rolling stock,fahrzeuge
205,route,strecke,útvonal,route,útvonal,route,útvonal,route,weg
206,running in advance,vorsprungfahren,korábban közlekedő,laufen im voraus,előre futás,take advantage,kihasználni,previously traveling,zuvor unterwegs
207,running to schedule,"engpass, engstelle",menetrendszerinti közlekedés,laufen nach zeitplan,futás ütemezéssel,"bottleneck, bottleneck","szűk keresztmetszet, szűk keresztmetszet",scheduled transport,geplanter transport
208,run through,durchfahren in,áthaladás,durchlaufen,végigmenni,drive through in,átmegy,passage,durchgang
209,run through the station,durchfahrt im bahnhof,áthaladás az állomáson,lauf durch die station,fuss az állomáson,transit in the station,tranzit az állomáson,passing through the station,durch den bahnhof fahren
210,section,abschnitt,szakasz,sektion,szakasz,section,rész,platoon,abschnitt
211,security measures,sicherungsmassnahmen,biztonsági intézkedések,sicherheitsmaßnahmen,biztonsági intézkedések,safety measures,biztonsági intézkedések,security measures,sicherheitsmaßnahmen
212,shunting,verschub,tolatás,rangieren,tolatási,shunting,tolató,shunt,shunt
213,shunting impact,verschub-anprall,tolatási hatás/kihatás,rangieraufprall,a tolatás hatása,shunting-impact,tolatás-hatás,reversible effect / effect,umkehrbarer effekt / effekt
214,shunting yard,verschubbahnhof,rendező-pályaudvar,rangierbahnhof,shunting udvar,shunting,tolató,marshalling,rangierung
215,signal,signal,jelző,signal,jel,signal,jel,marker,marker
216,signal single-track operation,signal-eingleisiger betrieb,jelző egyvágányú üzemhez,signal einspuriger betrieb,a jelzés egyetlen sávos működése,signal single-rail operation,signál egysínű működés,indicator for single track operation,anzeige für einspurigen betrieb
217,signaller,fahrdienstleiter,forgalmi szolgálattevő,signalgeber,híradó,dispatchers,diszpécserek,traffic operator,verkehrsbetreiber
218,signalling equipment signal-box,stellwerk,jelző berendezés,signaleinrichtung signal-box,jelzőberendezés jelződoboz,signal box,jelzőbódé,signaling equipment,signalausrüstung
219,single-track,eingleisige strecke,egyvágányú pálya,einspurig,egyvágányú,single track route,egyetlen pálya útvonal,one track track,einspuriger track
220,speed limit,geschwindigkeitsbeschränkung,sebesség határ,erlaubte höchstgeschwindigkeit,sebességhatár,speed limit,sebességhatár,speed limit,geschwindigkeitsbegrenzung
221,speed restriction,geschwindigkeitseinschränkung,sebesség korlátozás,geschwindigkeitsbegrenzung,sebességkorlátozás,speed restriction,sebességkorlátozás,speed limit,geschwindigkeitsbegrenzung
222,station,bahnhof,állomás,bahnhof,állomás,railway station,vasútállomás,station,station
223,start station,startbahnhof,indító állomás,station starten,indító állomás,starting station,kezdőszelvény,starting station,startstation
224,strike,streik,sztrájk,streik,sztrájk,strike,csapás,strike,streik
225,supervised level crossing on site,bahnübergang örtlich bewacht,helyből kezelt sorompó,überwachter bahnübergang vor ort,felügyelt szintű kereszteződés a helyszínen,railroad crossing guarded locally,vasúti kereszteződés helyben,locally managed barrier,lokal verwaltete barriere
226,tail lights,schlusssignal,zárjelző fény,rückleuchten,hátsó lámpák,final signal,végső jel,lock light,sperren sie das licht
227,technical assistance,fachdienst,műszaki szakszolgálat,technische unterstützung,technikai segítségnyújtás,fachdienst,fachdienst,technical service,technischer service
228,technical inspection,störung am zug,műszaki vizsgálat,technische überprüfung,műszaki ellenőrzés,disruption to the train,a vonat megzavarása,technical inspection,technische inspektion
229,technical problems,technische störung,műszaki probléma,technische probleme,technikai problémák,technical difficulties,technikai hiba,technical problem,technisches problem
230,technical stop,technischer stop,műszaki okból történő megállás,technischer stopp,műszaki okokból végzett leszállás,technical stop,műszaki megállás,stopping for technical reasons,anhalten aus technischen gründen
231,telecommunication network,telekommunikations netz,távközlési hálózat,telekommunikationsnetz,távközlési hálózat,telecommunications network,távközlési hálózat,telecommunication network,telekommunikationsnetz
232,temporary speed restriction,zeitliche geschwindigkeitseinschränkung,ideiglenes sebesség korlátozás,temporäre geschwindigkeitsbegrenzung,ideiglenes sebességkorlátozás,temporal speed restriction,időbeli sebességkorlátozás,temporary speed restriction,temporäre geschwindigkeitsbegrenzung
233,terminal,terminal,terminál,terminal,terminál,terminal,terminál,terminal,terminal
234,terminus station,endstation / kopfbahnhof,végállomás,endstation,terminus állomás,terminus / terminus,terminus / terminus,terminus,endstation
235,through station,durchfahrbahnhof,középállomás,durch die station,állomáson keresztül,drive-through station,áthajtásos állomáson,central station,hauptbahnhof
236,timetable,fahrplan,menetrend,zeitplan,órarend,timetable,menetrend,timetable,zeitplan
237,timetable for trains,fahrordnung für züge,vonatok menetrendje,fahrplan für züge,a vonatok menetrendje,road rules for trains,közúti szabályok a vonatok számára,trains schedule,zugfahrplan
238,total closure,strecken-unterbrechung,teljes kizárás,totale schließung,teljes bezárás,stretch-break,stretch-break,complete exclusion,vollständiger ausschluss
239,tow/ to be towed,abgeschleppt werden,vontatni/vontatva,abschleppen / abgeschleppt werden,vontatás / vontatás,be towed,vontatni,tow / towed,tow / geschleppt
240,towed load,anhängelast,vontatott rakomény,geschleppte ladung,vontatott terhelés,towable,vontatható,trailed stack,geschleppter stapel
241,to cancel security measures,sicherungsmassnahmen aufheben,biztonsági intézkedések érvénytelenítése,sicherheitsmaßnahmen abbrechen,a biztonsági intézkedések törlése,cancel security measures,törölje a biztonsági intézkedéseket,cancellation of security measures,aufhebung von sicherheitsmaßnahmen
242,to the arrival track,bis zielgleis,az érkező vágányra,zur ankunftsspur,az érkezési pályára,to destination track,a célsávra,the arriving track,die ankommende strecke
243,track,gleis,pálya,spur,vágány,track,vágány,court,gericht
244,track equipment,gleisausstattung,pályaberendezés,ausrüstung verfolgen,nyomkövető berendezések,railway equipment,a vasúti berendezések,course equipment,natürlich ausrüstung
245,track irregularity,unregelmässigkeit an der fahrleitung,pályahiba,verfolgen sie unregelmäßigkeiten,a szabálytalanság követése,irregularity on the overhead line,szabálytalanság a felsővezetéken,track error,spur fehler
246,track obstruction,gleis-sperre,vágány lezárva,hindernis verfolgen,a pálya akadályozása,track lock,sávzároló,track closed,track geschlossen
247,track on rising gradient,gleis mit steigung,emelkedő pálya,spur auf steigender steigung,az emelkedő gradiens nyomon követése,track with slope,a pálya lejtővel,rising track,steigende spur
248,track signal,gleis signal,pálya melletti jelző,signal verfolgen,nyomjelzés,track signal,nyomjelzés,track marker,titelmarkierung
249,track / switches / catenary damaged,gleis/weichen/oberleitung beschädigt,pálya/váltók/felsővezeték megsérült,gleis / weichen / oberleitung beschädigt,a sín / kapcsolók / nyomaték sérült,track / points / overhead line damaged,a pálya / pontok / felsővezeték sérült,the track / gear / overhead line is damaged,das gleis / getriebe / die oberleitung ist beschädigt
250,traffic accident,verkehrsunfall,közlekedési baleset,verkehrsunfall,közlekedési baleset,traffic accident,közúti baleset,traffic accident,verkehrsunfall
251,traffic density of a line,verkehrsdichte einer strecke,egy vonal forgalomsűrűsége,verkehrsdichte einer linie,egy vonal forgalmi sűrűsége,traffic density of a route,egy útvonal forgalmi sűrűsége,traffic density of a line,verkehrsdichte einer linie
252,train cancellation,zugausfall,vonatlemondás,zugstornierung,vonat törlése,train cancellation,vonat törlés,train cancellations,zugausfällen
253,train crew,zugmannschaft,vonatszemélyzet,zugbesatzung,vonatszemélyzet,train crew,vonatszemélyzet,train staff,zugpersonal
254,train delay,zugverspätung,vonatkésés,zugverspätung,vonat késése,train delay,a vonat késésének,train delay,zug verspätung
255,train number,zugnummer,vonatszám,zugnummer,vonat száma,train number,vonat száma,train no.,zug nr
256,train path,zugfahrplan,menetvonal,zugweg,vonatútvonal,train schedule,vonat menetrend,path,weg
257,train priority order,zugpriorisierung,vonatok fontossági sorrendje,reihenfolge der zugprioritäten,a vonat elsőbbségi sorrendje,zugpriorisierung,zugpriorisierung,the order of importance of trains,die reihenfolge der bedeutung der züge
258,train run interrupted,zuglauf unterbrochen,vonatközlekedés megszakítva,zugfahrt unterbrochen,a vonat futása megszakadt,traction interrupted,a vontatás megszakadt,train interrupted,zug unterbrochen
259,train running in advance,zug fährt mit vorsprung,korábbi vonatközlekedés,train running im voraus,a vonat előre halad,train drives ahead,a vonat előre halad,previous train service,vorheriger zugservice
260,train speed restriction,geschwindigkeitseinschränkung des zuges,vonat sebességének korlátozása,geschwindigkeitsbegrenzung,vonat sebességkorlátozása,speed restriction of the train,a vonat sebességkorlátozása,limiting train speed,begrenzung der zuggeschwindigkeit
261,trains to be kept by the previous im,zug auf abruf beim vorangegangenen ib,a vonatoknak az átadó pv-nál kell maradni,züge müssen vom vorherigen im gehalten werden,"vonatok, amelyeket az előző im-nek meg kell tartania",train on call at the previous ib,vonat a korábbi ib-n,trains must stay at the transfer pv,die züge müssen bei der übergabe pv bleiben
262,trains to be re-routed,zug müssen umgeleitet werden,más útvonalon közlekedtetendő vonatok,züge müssen umgeleitet werden,"vonatok, amelyeket át kell irányítani",train must be diverted,a vonatot át kell irányítani,trains to be operated on other routes,"züge, die auf anderen strecken verkehren sollen"
263,un number,un-nummer,veszélyességi szám,un-nummer,ensz-szám,un number,un-szám,hazard number,gefahrennummer
264,user interface,bedienoberfläche,felhasználói felület,benutzeroberfläche,felhasználói felület,user interface,a felhasználói felület,user interface,benutzeroberfläche
265,vehicle,fahrzeug,jármű,fahrzeug,jármű,vehicle,jármű,vehicle,fahrzeug
266,vehicle circulating as exceptional transport,fahrzeug als aussergewöhnliche sendung,rendkívüli küldeményként közlekedő jármű,fahrzeug als ausnahmetransporter im umlauf,kivételes közlekedésként közlekedő jármű,vehicle as an exceptional consignment,jármű kivételes szállítmányként,extraordinary shipment vehicle,außergewöhnliches transportfahrzeug
267,vehicles ran away,fahrzeuge entrollt,megfutamodott járművek,fahrzeuge rannten davon,a járművek elfutottak,vehicles unrolled,a járművek lekerekítettek,running vehicles,laufende fahrzeuge
268,wagon,waggon,kocsi,wagen,vasúti kocsi,wagon,kocsi,car,auto
269,weight,gewicht,súly,gewicht,súly,mass,súly,weight,gewicht
270,wheather conditions,wetterbedingungen,időjárási körülmények,wetterbedingungen,időjárás,weather conditions,időjárási viszonyok,weather conditions,wetterbedingungen
271,wheel flat,flachstelle,lapos kerék,rad flach,kerék lapos,flat spot,lapos terület,flat tire,flaches rad
272,work area,arbeitsstelle,munkaterület,arbeitsbereich,munkaterület,place of work,munka,work place,arbeitsplatz
